area,units_per_area,txmonth,number_in_area,tariff
MFULENI,479374.7,Nov-24,3170,Lifeline1
SAXONSEA,244511.5,Nov-24,858,Lifeline2
MACASSAR,242836.7,Nov-24,996,Lifeline2
LANGA,367056.2,Nov-24,1651,Lifeline2
ROBINVALE,183557.8,Nov-24,557,Domestic
WOODSTOCK,1136126.9,Nov-24,2848,Home
SILVERTOWN,356832.5,Nov-24,942,Domestic
SHERWOOD,162903.8,Nov-24,514,Domestic
STRAND,415459,Nov-24,1579,Domestic
PELIKAN PARK(1),215537,Nov-24,826,Domestic
RETREAT,353950.1,Nov-24,1195,Lifeline2
VALHALLA PARK,150315.5,Nov-24,413,Domestic
LENTEGEUR,269706.3,Nov-24,904,Lifeline2
PHILIPPI,237566.4,Nov-24,1026,Domestic
KEWTOWN,250488.9,Nov-24,713,Domestic
HOUT BAY,377166.2,Nov-24,1419,Lifeline2
LWANDLE,365065.6,Nov-24,1347,Lifeline2
RETREAT,877459.1,Nov-24,2023,Home
KENSINGTON,805273.2,Nov-24,1959,Home
STEENBERG,287129.1,Nov-24,781,Domestic
KUILSRIVIER,276146.1,Nov-24,1002,Lifeline2
STRAND,1589978.1,Nov-24,4239,Home
OCEAN VIEW,212240,Nov-24,796,Lifeline2
BROWNS FARM,286640.8,Nov-24,1374,Lifeline2
PLUMSTEAD,1784438.2,Nov-24,4137,Home
LWANDLE,297541.8,Nov-24,706,Domestic
PARKWOOD,193523.6,Nov-24,824,Lifeline2
LOTUS RIVER,756717.5,Nov-24,1651,Home
WYNBERG,1160683.1,Nov-24,3087,Home
WELTEVREDEN VALLEY,259720.1,Nov-24,1216,Lifeline2
FLORIDA,174149.2,Nov-24,481,Domestic
JOE SLOVO PARK,262233.9,Nov-24,653,Domestic
KALKSTEENFONTEIN,103153.8,Nov-24,335,Domestic
BONTEHEUWEL,257962.3,Nov-24,1538,Lifeline1
SHERWOOD,186435.3,Nov-24,666,Lifeline2
MAMRE,289387.8,Nov-24,726,Domestic
BEACON VALLEY,181560.4,Nov-24,588,Lifeline2
ATHLONE,797648.1,Nov-24,1743,Home
PROTEA PARK,168842.2,Nov-24,474,Domestic
AVONDALE(1),162371.1,Nov-24,510,Domestic
LWANDLE,323632.4,Nov-24,2412,Lifeline1
PARKWOOD,164348.4,Nov-24,519,Domestic
BELLVILLE SOUTH     BELLVILLE,108262.5,Nov-24,325,Domestic
LOTUS RIVER,217293.6,Nov-24,773,Lifeline2
CLAREMONT,2150221.9,Nov-24,4804,Home
BROWNS FARM,286407.5,Nov-24,2234,Lifeline1
PROTEA PARK,170082.3,Nov-24,588,Lifeline2
HEIDEVELD,186105.9,Nov-24,1034,Lifeline1
HOUT BAY,320543.6,Nov-24,874,Domestic
PELIKAN PARK(2),179824.5,Nov-24,622,Domestic
ROBINVALE,135327.2,Nov-24,476,Lifeline2
MASIPHUMELELE,303185.6,Nov-24,807,Domestic
OTTERY,907363.5,Nov-24,1905,Home
BROOKLYN,494086.5,Nov-24,1158,Home
TARENTAALPLAAS,94224.1,Nov-24,259,Domestic
RAVENSMEAD     PAROW,130204.3,Nov-24,341,Domestic
HOUT BAY,298261.7,Nov-24,1919,Lifeline1
MAITLAND,428884.8,Nov-24,1046,Home
KENSINGTON,186082.7,Nov-24,564,Domestic
SOMERSET WEST,1551757.8,Nov-24,3376,Home
PELIKAN PARK(1),162323,Nov-24,563,Lifeline2
HAZENDAL,134743.3,Nov-24,380,Domestic
NYANGA,138945.7,Nov-24,586,Domestic
MAMRE,161835.6,Nov-24,598,Lifeline2
STRAND,261124.9,Nov-24,1824,Lifeline1
PARKWOOD,134984.7,Nov-24,950,Lifeline1
STEENBERG,169194.7,Nov-24,556,Lifeline2
PHOENIX,218204.4,Nov-24,652,Domestic
TARENTAALPLAAS,106174.9,Nov-24,397,Lifeline2
BELMONT PARK,348363.9,Nov-24,782,Home
MONTAGU'S GIFT,171928.6,Nov-24,441,Domestic
KALKSTEENFONTEIN,69813.6,Nov-24,269,Lifeline2
SUMMER GREENS,429916.7,Nov-24,1078,Home
RONDEBOSCH,1737857.9,Nov-24,3683,Home
GRASSY PARK,236293.7,Nov-24,660,Domestic
PORTLAND,222758.7,Nov-24,728,Domestic
SEA POINT,1370946.7,Nov-24,3851,Home
ROCKLANDS,157975.7,Nov-24,529,Lifeline2
SEA WINDS,121317.7,Nov-24,374,Domestic
KENILWORTH,1067634,Nov-24,2893,Home
SEA WINDS,138545.6,Nov-24,485,Lifeline2
WELTEVREDEN VALLEY,194889.8,Nov-24,1525,Lifeline1
KALKFONTEIN,88724.1,Nov-24,238,Domestic
VALHALLA PARK,106155.8,Nov-24,704,Lifeline1
MUIZENBERG,833936.9,Nov-24,2248,Home
STRAND,190792.7,Nov-24,677,Lifeline2
RETREAT,152533.5,Nov-24,827,Lifeline1
OCEAN VIEW,120199.5,Nov-24,704,Lifeline1
HOUT BAY,1728959.8,Nov-24,3111,Home
MACASSAR,90220.1,Nov-24,296,Domestic
ATHLONE,183348.9,Nov-24,515,Domestic
LENTEGEUR,129381.9,Nov-24,653,Lifeline1
BROOKLYN,201558,Nov-24,707,Domestic
EASTRIDGE,105158.5,Nov-24,579,Lifeline1
BROWNS FARM,106520.4,Nov-24,491,Domestic
CRAWFORD,666252,Nov-24,1315,Home
ASANDA,239083.5,Nov-24,748,Lifeline2
MAITLAND,206734.9,Nov-24,705,Domestic
SAREPTA,90842.2,Nov-24,340,Domestic
BELHAR EXT 23,81895.5,Nov-24,223,Domestic
PINELANDS,1318455,Nov-24,2607,Home
FISH HOEK,1208634.5,Nov-24,2982,Home
BEACON VALLEY,83686.9,Nov-24,390,Lifeline1
WINDERMERE,93749.5,Nov-24,344,Domestic
OBSERVATORY,664568.2,Nov-24,1868,Home
PAROW,454618.2,Nov-24,1024,Home
ATHLONE,92860.2,Nov-24,325,Lifeline2
THORNTON,592408.6,Nov-24,1458,Home
AVONDALE(1),90934.1,Nov-24,359,Lifeline2
KEWTOWN,105106.1,Nov-24,391,Lifeline2
DURBANVILLE,1086299.6,Nov-24,2417,Home
SOMERSET WEST,190104.3,Nov-24,608,Domestic
IKWEZI PARK,107817.3,Nov-24,498,Domestic
KALKFONTEIN,116677.6,Nov-24,398,Lifeline2
PAROW,158692.8,Nov-24,599,Domestic
HEATHFIELD,402828.6,Nov-24,985,Home
SOUTHFIELD,512438.1,Nov-24,1170,Home
SHERWOOD,89241.6,Nov-24,528,Lifeline1
GARDENS,966529.8,Nov-24,2486,Home
RAVENSMEAD,112025.1,Nov-24,382,Lifeline2
THE RANGE,65378.1,Nov-24,204,Domestic
WOODLANDS - MITCHELLS PLAIN,109169.3,Nov-24,403,Lifeline2
EDGEMEAD,1013145.5,Nov-24,2254,Home
EAGLE PARK,63646.6,Nov-24,191,Domestic
VASCO ESTATE,443275.4,Nov-24,967,Home
PELIKAN PARK(1),101054.9,Nov-24,613,Lifeline1
HEINZ PARK,51047.2,Nov-24,180,Domestic
GREENLANDS,54775.3,Nov-24,146,Domestic
MACASSAR,81149.9,Nov-24,494,Lifeline1
SALT RIVER,237975.3,Nov-24,685,Home
GOODWOOD ESTATE,454989.6,Nov-24,1007,Home
RUSTHOF(2),63534.7,Nov-24,217,Domestic
BELMONT PARK,104076.2,Nov-24,337,Domestic
WESTLAKE ESTATE,124287.2,Nov-24,232,Domestic
HEINZ PARK,53465.9,Nov-24,241,Lifeline2
TOWNSEND ESTATE,451749.9,Nov-24,967,Home
GLENLILY,413420.5,Nov-24,888,Home
MASIPHUMELELE,151064.1,Nov-24,648,Lifeline2
VRYGROND,85710.8,Nov-24,294,Lifeline2
MORGANS VILLAGE,92314.4,Nov-24,359,Domestic
GRASSY PARK,144151.2,Nov-24,483,Lifeline2
BEACONHILL,87070.2,Nov-24,274,Domestic
PELIKAN PARK,98822.6,Nov-24,385,Domestic
WELTEVREDEN VALLEY,191377.5,Nov-24,594,Home
EXT 23     BELHAR,58498.8,Nov-24,165,Domestic
LOTUS RIVER,88065.6,Nov-24,430,Lifeline1
WOODLANDS,79522.5,Nov-24,275,Lifeline2
GUSTROW,40518.3,Nov-24,132,Domestic
ROCKLANDS,86582.1,Nov-24,449,Lifeline1
PORTLANDS,130472.3,Nov-24,441,Lifeline2
THE RANGE,48665.8,Nov-24,189,Lifeline2
RUGBY,253933.6,Nov-24,562,Home
WESTRIDGE - MITCHELS PLA,117654.4,Nov-24,376,Domestic
WYNBERG,178356.7,Nov-24,705,Domestic
MITCHELLS PLAIN,88738.3,Nov-24,314,Lifeline2
WETTON,333479.2,Nov-24,707,Home
NEWFIELDS,201038.6,Nov-24,472,Home
STEENBERG,81423,Nov-24,380,Lifeline1
BOSTON,512742.8,Nov-24,1129,Home
RONDEVLEI PARK,103055.6,Nov-24,332,Domestic
SURREY,303826.6,Nov-24,655,Home
PLUMSTEAD,201630.7,Nov-24,853,Domestic
KRAAIFONTEIN,357260.8,Nov-24,774,Home
SAXONSEA,62277.7,Nov-24,341,Lifeline1
MONTAGU'S GIFT,68102.3,Nov-24,254,Lifeline2
BELHAR EXT 19,53513.4,Nov-24,144,Domestic
SUMMER GREENS,115580,Nov-24,371,Domestic
SOMERSET WEST,93893.9,Nov-24,324,Lifeline2
PENLYN ESTATE,303451.6,Nov-24,642,Home
PAROWVALLEI,268737,Nov-24,598,Home
MORNINGSTAR,38092,Nov-24,128,Domestic
SCOTTSDENE,53170.5,Nov-24,235,Lifeline2
CAFDA VILLAGE,66631.2,Nov-24,212,Domestic
AVONDALE - WESFLEUR,50503.5,Nov-24,195,Lifeline2
BRACKENFELL SOUTH,561818.1,Nov-24,1448,Home
NEW WOODLANDS,69211,Nov-24,264,Domestic
VREDEHOEK,673682.5,Nov-24,1824,Home
CASABLANCA,36471.1,Nov-24,120,Domestic
WOODLANDS - MITCHELLS PLAIN,90781.2,Nov-24,528,Lifeline1
CONSTANTIA,1486467.9,Nov-24,1780,Home
SUNNYDALE,132019,Nov-24,962,Lifeline1
GREEN POINT,720492.7,Nov-24,1833,Home
RYLANDS,379990.5,Nov-24,762,Home
STRANDFONTEIN,139039.7,Nov-24,458,Lifeline2
SONSTRAAL HEIGHTS,601660.6,Nov-24,1660,Home
SERCOR PARK,44042.6,Nov-24,108,Domestic
MOWBRAY,407834,Nov-24,1003,Home
EIKENDAL,87041.9,Nov-24,250,Domestic
MARLOW,43884.9,Nov-24,140,Domestic
KLIPKOP,234026.4,Nov-24,490,Home
PEERLESS PARK EAST,205958.2,Nov-24,496,Home
AVONDALE - WESFLEUR,50218.4,Nov-24,163,Domestic
SEAWINDS,62567.8,Nov-24,190,Domestic
WINSOR ESTATE,330172.8,Nov-24,788,Home
STEENBERG,241384.2,Nov-24,555,Home
SUNNYDALE,485343.6,Nov-24,1129,Home
BELGRAVIA VYGEKRAAL,192533.2,Nov-24,429,Home
EIKENDAL,137830.7,Nov-24,340,Home
PELIKAN PARK,57088.3,Nov-24,201,Lifeline2
NEWLANDS,953553.9,Nov-24,1641,Home
GOODWOOD,335092,Nov-24,696,Home
MILNERTON,623902.5,Nov-24,1243,Home
HIGHBURY PARK,86847.4,Nov-24,344,Domestic
BELGRAVIA,218553.9,Nov-24,503,Home
KOSOVO,95295,Nov-24,863,Lifeline1
KUILSRIVIER,72253.8,Nov-24,388,Lifeline1
RAVENSMEAD,134570.5,Nov-24,329,Home
SEAWINDS,62072.6,Nov-24,206,Lifeline2
RICHMOND ESTATE,263502.2,Nov-24,590,Home
HAZENDAL,60010.6,Nov-24,196,Lifeline2
PINEHURST,678920.7,Nov-24,1674,Home
SURREY ESTATE,204620.6,Nov-24,452,Home
BELHAR EXT 21,53602.9,Nov-24,153,Domestic
NOMZAMO,105212.6,Nov-24,243,Domestic
CROSSROADS,53286.9,Nov-24,256,Lifeline2
BONNIE BRAE,311691,Nov-24,761,Home
ROSEBANK,321901.7,Nov-24,1009,Home
PROTEA PARK,47594.9,Nov-24,279,Lifeline1
RUSTHOF(1),32152.1,Nov-24,87,Domestic
SUNNYDALE,126955.2,Nov-24,336,Domestic
WOODSTOCK,126520.4,Nov-24,242,Small Power 2
CASABLANCA,39869.3,Nov-24,134,Lifeline2
PELIKAN PARK(2),64224.1,Nov-24,204,Lifeline2
HOUT BAY HARBOUR,42952.8,Nov-24,121,Domestic
ROBINVALE,39580.7,Nov-24,234,Lifeline1
EXT 19     BELHAR,51390.6,Nov-24,131,Domestic
RONDEBOSCH EAST,318975.2,Nov-24,625,Home
RETREAT,73953.3,Nov-24,193,Small Power 2
WOODSTOCK,103994.7,Nov-24,300,Domestic
SEAWINDS,48270.9,Nov-24,270,Lifeline1
HOUT BAY HARBOUR,47471.4,Nov-24,179,Lifeline2
PHILIPPI,131201.3,Nov-24,287,Home
LAVENDER HILL EAST,28995.5,Nov-24,97,Domestic
NEW WOODLANDS,63964.2,Nov-24,416,Lifeline1
LANSDOWNE,111258,Nov-24,350,Domestic
PELIKAN PARK,60686.7,Nov-24,342,Lifeline1
LAKESIDE,438066.3,Nov-24,1094,Home
JAGTERSHOF,194260.1,Nov-24,485,Home
BERGVLIET,709309.8,Nov-24,1308,Home
GATESVILLE,252260.8,Nov-24,519,Home
CAFDA VILLAGE,37810.3,Nov-24,150,Lifeline2
MAMRE,50273,Nov-24,287,Lifeline1
PHILIPPI WEST,52171.2,Nov-24,264,Lifeline2
BELTHORN ESTATE,246124.9,Nov-24,525,Home
BRIDGETOWN,64894.4,Nov-24,208,Lifeline2
DURBANVILLE,135032.9,Nov-24,583,Domestic
SEA WINDS,55516.7,Nov-24,337,Lifeline1
BROADLANDS,47158.3,Nov-24,183,Domestic
SANDDRIFT,248910.6,Nov-24,527,Home
SCOTTSVILLE,53740.3,Nov-24,171,Lifeline2
PORTLANDS,98719.1,Nov-24,220,Home
TOKAI,694915.3,Nov-24,1271,Home
WYNBERG,108181.9,Nov-24,219,Small Power 2
BELLVILLE SOUTH,115687.8,Nov-24,254,Home
NOMZAMO,74817.2,Nov-24,257,Lifeline2
BELLVILLE SOUTH ,18930.4,Nov-24,53,Domestic
RUGBY,73903.3,Nov-24,275,Domestic
KALKSTEENFONTEIN,25774,Nov-24,163,Lifeline1
BELLVILLE SOUTH     BELLVILLE,33019,Nov-24,113,Lifeline2
RUSTHOF(2),83242.6,Nov-24,194,Home
WOODLANDS,40166.5,Nov-24,211,Lifeline1
BELHAR EXT 22,34845.3,Nov-24,107,Domestic
MAITLAND,147199.8,Nov-24,267,Small Power 2
BELHAR EXT 18,29960.1,Nov-24,85,Domestic
MELKBOSCHSTRAND,535597,Nov-24,997,Home
JOE SLOVO PARK,52085.2,Nov-24,226,Lifeline2
SCOTTSVILLE,103680,Nov-24,246,Home
EXT 21     BELHAR,35058.5,Nov-24,100,Domestic
PEERLESS PARK NORTH,215974,Nov-24,478,Home
PINELANDS,84210.5,Nov-24,310,Domestic
TIJGERHOF,227088.3,Nov-24,494,Home
BELHAR EXT 23,41866.6,Nov-24,237,Lifeline1
UITSIG,370954.1,Nov-24,819,Home
TYGERDAL,242770.2,Nov-24,536,Home
LAVENDER HILL EAST,36201.1,Nov-24,138,Lifeline2
ROBINVALE,110583.1,Nov-24,242,Home
MONTE VISTA,418881.8,Nov-24,807,Home
MAKHOSI STREET,45133.1,Nov-24,233,Lifeline2
VREDEKLOOF,346235.5,Nov-24,837,Home
WOODLANDS,27481.7,Nov-24,95,Home
PELIKAN PARK(2),127201.2,Nov-24,314,Home
PAROW,66895.6,Nov-24,250,Lifeline2
BELHAR EXT 20,33174.9,Nov-24,99,Domestic
ATHLONE,39128.7,Nov-24,206,Lifeline1
THORNTON,65514.7,Nov-24,231,Domestic
EUROPE,55085.7,Nov-24,430,Lifeline1
HIGHBURY,156295.9,Nov-24,358,Home
STRAND,141862.3,Nov-24,330,Small Power 2
PAROW NORTH,326861.7,Nov-24,633,Home
SCHOTSCHEKLOOF,143501.3,Nov-24,335,Home
MILNERTON,92296.7,Nov-24,341,Domestic
KOMMETJIE,481114.9,Nov-24,999,Home
ORANJEZICHT,481213.2,Nov-24,1092,Home
LANGEBERG RIDGE,274906.1,Nov-24,651,Home
PROTEA HOOGTE,324155.2,Nov-24,675,Home
BOSTON,71238.1,Nov-24,282,Domestic
SOMERSET WEST,170363,Nov-24,366,Small Power 2
OTTERY,99783.3,Nov-24,294,Domestic
NEWFIELDS,34241.1,Nov-24,101,Domestic
MASIPHUMELELE,70916.2,Nov-24,463,Lifeline1
CLAREMONT,108497.2,Nov-24,200,Small Power 2
RAVENSMEAD,41092.6,Nov-24,219,Lifeline1
GREENLANDS     BELLVILLE,25145.7,Nov-24,63,Domestic
KALKFONTEIN,41195.6,Nov-24,239,Lifeline1
MONTAGU'S GIFT,124790.8,Nov-24,269,Home
ELFINDALE,242890.1,Nov-24,468,Home
TAMBOERSKLOOF,407505.2,Nov-24,1020,Home
THREE ANCHOR BAY,279902.5,Nov-24,868,Home
SOMERSET WEST,67396.8,Nov-24,396,Lifeline1
HEINZ PARK,28304,Nov-24,199,Lifeline1
MITCHELLS PLAIN,43899.1,Nov-24,220,Lifeline1
BELLVILLE SOUTH,38015.8,Nov-24,125,Lifeline2
GRASSY PARK,49822,Nov-24,229,Lifeline1
RUGBY,47596.4,Nov-24,165,Lifeline2
MAITLAND VILLAGE GARDEN,26046.4,Nov-24,71,Domestic
BROOKLYN,54868.9,Nov-24,120,Small Power 2
KEWTOWN,39036.5,Nov-24,219,Lifeline1
MORGENS VILLAGE,24639.7,Nov-24,107,Domestic
KTC,36104.4,Nov-24,180,Lifeline2
SIMON'S TOWN,406862.1,Nov-24,968,Home
HAZENDAL,31711.5,Nov-24,152,Lifeline1
ATHLONE,95058,Nov-24,134,Small Power 2
BELLVILLE,195752.2,Nov-24,406,Home
PORTLANDS,54987.9,Nov-24,282,Lifeline1
PROTEA VILLAGE,193228.6,Nov-24,525,Home
SOUTHFIELD,67085.4,Nov-24,242,Domestic
STELLENDALE,84877.5,Nov-24,359,Domestic
KENSINGTON,66380.6,Nov-24,216,Lifeline2
OTTERY EAST,171092.9,Nov-24,380,Home
BROADLANDS VILLAGE,56074.5,Nov-24,225,Domestic
AVONDALE(1),31570.9,Nov-24,182,Lifeline1
PELIKAN PARK(1),141291.6,Nov-24,306,Home
ZONNEBLOEM (DISTRICT SIX),68002.5,Nov-24,209,Domestic
FLORIDA,28084.4,Nov-24,104,Lifeline2
MUIZENBERG,117977.1,Nov-24,455,Domestic
WESTLAKE VILLAGE,34339.4,Nov-24,71,Domestic
COLORADO PARK,64112.7,Nov-24,180,Domestic
GROENVALLEI,124849.5,Nov-24,355,Home
PAROW,79060.6,Nov-24,124,Small Power 2
WESTGATE,53027.4,Nov-24,165,Domestic
NOORDHOEK,541121,Nov-24,927,Home
OAKDALE,161716.7,Nov-24,333,Home
LANSDOWNE,87818.5,Nov-24,150,Small Power 2
CHARLESVILLE,38073.3,Nov-24,116,Domestic
PAROW VALLEY,147375.3,Nov-24,311,Home
MITCHELLS PLAIN ,17184.2,Nov-24,55,Domestic
SOUTHFORK,79248.1,Nov-24,204,Home
WINDSOR PARK ESTATE,179952.5,Nov-24,477,Home
GREENWAYS,22326.3,Nov-24,69,Domestic
CLAREMONT,139692.3,Nov-24,501,Domestic
WELGELEGEN,367985.5,Nov-24,711,Home
HAZENDAL,113978.4,Nov-24,248,Home
WESTRIDGE,46995.1,Nov-24,162,Lifeline2
CAPE TOWN CENTRAL,163282.6,Nov-24,411,Home
MELKBOSCHSTRAND,44584.6,Nov-24,164,Domestic
MONTCLAIR,41293.1,Nov-24,199,Domestic
,139933.7,Nov-24,323,Small Power 2
MONTANA/DURRHEIM,98543.9,Nov-24,239,Home
VRYGROND,25786.5,Nov-24,128,Lifeline1
SCOTTSDENE,23423,Nov-24,72,Domestic
BELHAR EXT 23,23443.8,Nov-24,83,Lifeline2
CAPE FARMS,28056.1,Nov-24,103,Lifeline2
MORGENS VILLAGE,30651.9,Nov-24,116,Lifeline2
GRASSY PARK,76037.9,Nov-24,126,Small Power 2
KUILSRIVIER SOUTH SALLHO,39215.6,Nov-24,238,Lifeline1
SILVERTOWN,42459.4,Nov-24,145,Lifeline2
SALT RIVER,75932.3,Nov-24,149,Small Power 2
CENTURY CITY,296481,Nov-24,726,Home
BELLVILLE,44625,Nov-24,146,Domestic
CROSSROADS,36942,Nov-24,290,Lifeline1
ZONNEBLOEM (DISTRICT SIX),124546.7,Nov-24,322,Home
GUSTROW,58535.9,Nov-24,141,Home
MELKBOSCH STRAND,435874,Nov-24,827,Home
PEERLESS PARK EAST,59091.6,Nov-24,199,Domestic
CAPE FARMS,26239.7,Nov-24,85,Domestic
ZEEKOEVLEI,132048.3,Nov-24,272,Home
CAPE TOWN,22539.2,Nov-24,87,Lifeline2
NEW REST,37234.2,Nov-24,165,Lifeline2
GREENLANDS,27037.2,Nov-24,88,Lifeline2
MOWBRAY,68280.2,Nov-24,301,Domestic
TARENTAALPLAAS,23176.8,Nov-24,128,Lifeline1
VASCO ESTATE,71932.2,Nov-24,289,Domestic
ZEEKOEIVLEI,101196.5,Nov-24,228,Home
PELIKAN PARK(2),36725.7,Nov-24,199,Lifeline1
GUSTROW,20701,Nov-24,71,Lifeline2
KUILSRIVIER SOUTH SALLHO,21254.7,Nov-24,113,Domestic
DE LA HAYE,176373.7,Nov-24,330,Home
KTC,34309,Nov-24,230,Lifeline1
WOODLANDS - MITCHELLS PLAIN,26992.4,Nov-24,79,Home
FACTRETON,32809.2,Nov-24,114,Lifeline2
PINATI,25999.4,Nov-24,96,Lifeline2
BELHAR,37469.3,Nov-24,114,Lifeline2
EXT 22     BELHAR,25886.5,Nov-24,74,Domestic
WESTRIDGE - MITCHELLS PLA,40884.5,Nov-24,131,Domestic
SUN VALLEY,229262.2,Nov-24,517,Home
TOWNSEND ESTATE,66879.7,Nov-24,283,Domestic
GLENHAVEN,89024.5,Nov-24,204,Home
DIEP RIVER,192264.5,Nov-24,479,Home
BELLVILLE SOUTH INDUSTRIAL,11133.2,Nov-24,34,Domestic
DIEPRIVIER,211304.3,Nov-24,514,Home
KIRSTENHOF,262732.6,Nov-24,579,Home
BEACONHILL,28026.7,Nov-24,96,Lifeline2
WESTLAKE,45210.4,Nov-24,97,Domestic
STRANDFONTEIN,53505.3,Nov-24,290,Lifeline1
RUSTHOF(2),31705.7,Nov-24,108,Lifeline2
BARCELONA,41904,Nov-24,309,Lifeline1
AVONDALE - WESFLEUR,23566,Nov-24,143,Lifeline1
PELIKAN PARK(3),93667.8,Nov-24,199,Home
GREENLANDS     BELLVILLE,29470,Nov-24,97,Lifeline2
KENILWORTH,112751.5,Nov-24,456,Domestic
MORGENSTER,181835.2,Nov-24,389,Home
MORNINGSTAR     DURBANVILLE,22131.4,Nov-24,69,Domestic
VANGUARD,90955.3,Nov-24,213,Home
GREENWAYS,134986.9,Nov-24,374,Home
LOEVENSTEIN,269812.3,Nov-24,526,Home
KANANA,30936.4,Nov-24,153,Lifeline2
RUSTHOF(2),35125.4,Nov-24,273,Lifeline1
BELRAIL,84178,Nov-24,158,Home
GATESVILLE,22275.6,Nov-24,145,Lifeline1
PANORAMA,276795.1,Nov-24,558,Home
COLORADO,28998.5,Nov-24,91,Domestic
SCHAAP KRAAL,99586.8,Nov-24,172,Home
SUNNYDALE,62307.6,Nov-24,227,Lifeline2
WINDSOR ESTATE,140139.3,Nov-24,313,Home
MILNERTON RIDGE,227006.3,Nov-24,460,Home
MONTANA/DURRHEIM,31894.5,Nov-24,102,Domestic
EXT 18     BELHAR,34033.2,Nov-24,84,Domestic
WELCOME,68873.5,Nov-24,148,Home
SHERWOOD PARK,32291.5,Nov-24,93,Domestic
SAREPTA,59270.6,Nov-24,141,Home
BARCELONA,28933.1,Nov-24,154,Lifeline2
BEACON HILL,25637.1,Nov-24,77,Domestic
CHURCHILL,142979.5,Nov-24,314,Home
SURREY,27994.7,Nov-24,100,Domestic
DE OUDE SPRUIT,174104.4,Nov-24,378,Home
FERNDALE,61824,Nov-24,282,Domestic
BRACKENFELL,175261.8,Nov-24,373,Home
OAKDALE(2),147536,Nov-24,303,Home
LEONSDALE,29085.3,Nov-24,123,Lifeline1
PEERLESS PARK WEST,65808,Nov-24,154,Home
MEADOWRIDGE,351970.8,Nov-24,615,Home
KEMPENVILLE,48249.1,Nov-24,62,Small Power 2
BO-KAAP,104250.5,Nov-24,223,Home
